module_name,module_code,module_description,framework_languages,children
التواصل المهني,FMPS_C001_V01,No DESCRIPTION,"arabic;english,french","التواصل المهني,الاختبار التواصل المهني"
الأسس العامة لتنظيم الأنشطة الموازية,FMPS_C024_V05,No DESCRIPTION,"arabic;english,french","الأسس العامة لتنظيم الأنشطة الموازية,الاختبار الأسس العامة لتنظيم الأنشطة الموازية"
نصائح عامة للمربين لتطوير مختلف قدرات الأطفال و مهارتهم,FMPS_C024_V06,No DESCRIPTION,"arabic;english,french","نصائح عامة للمربين لتطوير مختلف قدرات الأطفال و مهارتهم,الاختبار نصائح عامة للمربين لتطوير مختلف قدرات الأطفال و مهارتهم"
مفهوم صحة و رفاه الطفل و أهم ركائزه,FMPS_C025_V01,No DESCRIPTION,"arabic;english,french","مفهوم صحة و رفاه الطفل و أهم ركائزه,الاختبار مفهوم صحة و رفاه الطفل و أهم ركائزه"
طب الاطفال,FMPS_C025_V02,No DESCRIPTION,"arabic;english,french","طب الاطفال,الاختبار طب الاطفال"
طب الأذن و الأنف و الحنجرة,FMPS_C025_V03,No DESCRIPTION,"arabic;english,french","طب الأذن و الأنف و الحنجرة,الاختبار طب الأذن و الأنف و الحنجرة"
طب العيون,FMPS_C025_V04,No DESCRIPTION,"arabic;english,french","طب العيون,الاختبار طب العيون"
توجيهات و إرشادات خاصة بطب العيون,FMPS_C025_V05,No DESCRIPTION,"arabic;english,french","توجيهات و إرشادات خاصة بطب العيون,الاختبار توجيهات و إرشادات خاصة بطب العيون"
طب الأسنان,FMPS_C025_V06,No DESCRIPTION,"arabic;english,french","طب الأسنان,الاختبار طب الأسنان"
المهارات الحياتية و التواصل الفعال,FMPS_C026_V01,No DESCRIPTION,"arabic;english,french","المهارات الحياتية و التواصل الفعال,الاختبار المهارات الحياتية و التواصل الفعال"
أهمية تنمية المهارات الحياتية لدى المربي والاهداف المحققة من خلالها,FMPS_C026_V02,No DESCRIPTION,"arabic;english,french","أهمية تنمية المهارات الحياتية لدى المربي والاهداف المحققة من خلالها,الاختبار أهمية تنمية المهارات الحياتية لدى المربي والاهداف المحققة من خلالها"
الأهداف العامة المحصلة لدى المربي من خلال تنميته لمهاراته الحياتية,FMPS_C026_V03,No DESCRIPTION,"arabic;english,french","الأهداف العامة المحصلة لدى المربي من خلال تنميته لمهاراته الحياتية,الاختبار الأهداف العامة المحصلة لدى المربي من خلال تنميته لمهاراته الحياتية"
الاتصال الرقمي و أهميته في الممارسات الحياتية و المهنية للمربي,FMPS_C026_V04,No DESCRIPTION,"arabic;english,french","الاتصال الرقمي و أهميته في الممارسات الحياتية و المهنية للمربي,الاختبار الاتصال الرقمي و أهميته في الممارسات الحياتية و المهنية للمربي"
مفهوم تقدير الذات,FMPS_C027_V01,No DESCRIPTION,"arabic;english,french","مفهوم تقدير الذات,الاختبار مفهوم تقدير الذات"
بناء تقدير الذات لدى الطفل,FMPS_C027_V02,No DESCRIPTION,"arabic;english,french","بناء تقدير الذات لدى الطفل,الاختبار بناء تقدير الذات لدى الطفل"
أهمية بناء تقدير الذات لدى الطفل,FMPS_C027_V03,No DESCRIPTION,"arabic;english,french","أهمية بناء تقدير الذات لدى الطفل,الاختبار أهمية بناء تقدير الذات لدى الطفل"
علاقة تقدير الذات بالتعلمات,FMPS_C027_V04,No DESCRIPTION,"arabic;english,french","علاقة تقدير الذات بالتعلمات,الاختبار علاقة تقدير الذات بالتعلمات"
تطوير الذات عند الأطفال,FMPS_C027_V05,No DESCRIPTION,"arabic;english,french","تطوير الذات عند الأطفال,الاختبار تطوير الذات عند الأطفال"
احترام الذات لدى الأطفال الذين يعانون من صعوبات في التعلم,FMPS_C027_V06,No DESCRIPTION,"arabic;english,french","احترام الذات لدى الأطفال الذين يعانون من صعوبات في التعلم,الاختبار احترام الذات لدى الأطفال الذين يعانون من صعوبات في التعلم"
مصوغة اللعب في التعليم الاولي,FMPS_C028_V01,No DESCRIPTION,"arabic;english,french","مصوغة اللعب في التعليم الاولي,الاختبار مصوغة اللعب في التعليم الاولي"
الألعاب التربوية,FMPS_C028_V02,No DESCRIPTION,"arabic;english,french","الألعاب التربوية,الاختبار الألعاب التربوية"
الالعاب الحسية,FMPS_C028_V03,No DESCRIPTION,"arabic;english,french","الالعاب الحسية,الاختبار الالعاب الحسية"
الالعاب الشعبية,FMPS_C028_V04,No DESCRIPTION,"arabic;english,french","الالعاب الشعبية,الاختبار الالعاب الشعبية"
الالعاب اللغوية,FMPS_C028_V05,No DESCRIPTION,"arabic;english,french","الالعاب اللغوية,الاختبار الالعاب اللغوية"
